DATE,ROOM,BANDS,ADV,DOS,TOTAL ADV,ADV IN,NEED,LEFT,TOTAL DOS,DOS IN,FINAL,FINAL NEED ,CLE TAX TAKEN,BAND PAYOUT,TOTAL COUNT,REMAINING,BAR RINGS,,,
6/30/18,BALLROOM,Suzanne Santo,$13.00,$15.00,87,"$1,131.00",$500.00,-$631.00,46,$690.00,"$1,821.00","-$1,321.00",$72.84,"$1,227.80",133,$520.36,"$1,547.29",,,
7/5/18,TAVERN,Alyssa Boyd Quartet,$5.00,$8.00,3,$15.00,$200.00,$185.00,27,$216.00,$231.00,-$31.00,N/A,$180.00,30,$51.00,$379.37,,,
7/16/18,TAVERN,Pearl Charles,$12.00,$12.00,5,$60.00,$700.00,$640.00,9,$108.00,$168.00,$532.00,N/A,$500.00,14,-$332.00,$334.28,,,
7/17/18,TAVERN,Bent Knee,$12.00,$12.00,21,$252.00,$400.00,$148.00,27,$324.00,$576.00,-$176.00,N/A,$400.00,48,$176.00,$373.80,,,
7/19/18,TAVERN,Mobley,$8.00,$10.00,2,$16.00,$200.00,$184.00,8,$80.00,$96.00,$104.00,N/A,$58.00,10,$38.00,$296.23,,,
7/24/18,BALLROOM,Japanese Breakfast / Mothers,$15.00,$15.00,310,"$4,650.00","$2,950.00","-$1,700.00",47,$705.00,"$5,355.00","-$2,405.00",$214.20,"$3,200.00",357,"$1,940.80","$2,041.24",,,
7/24/18,TAVERN,Knox Hamilton,$10.00,$12.00,29,$290.00,$300.00,$10.00,14,$168.00,$458.00,-$158.00,N/A,$375.00,43,$83.00,$355.55,,,
7/29/18,BALLROOM,Snail Mail,$14.00,$14.00,247,"$3,458.00","$1,000.00","-$2,458.00",38,$532.00,"$3,990.00","-$2,990.00",$159.60,"$1,000.00",285,"$2,830.40","$1,653.31",,,
7/29/18,TAVERN,Calliope Musicals,$10.00,$12.00,2,$20.00,$300.00,$280.00,2,$24.00,$44.00,$256.00,N/A,$150.00,4,-$106.00,$543.80,,,
8/1/18,TAVERN,LAUREN SANDERSON *SOLD OUT,$10.00,$10.00,157,"$1,570.00",$300.00,"-$1,270.00",0,$0.00,"$1,570.00","-$1,270.00",N/A,$966.00,157,$604.00,$516.26,,,
8/3/18,TAVERN,HIRIE *SOLD OUT,$15.00,$15.00,103,"$1,545.00","$1,081.50",-$463.50,20,$300.00,"$1,845.00",-$763.50,N/A,"$1,291.50",123,$553.50,"$2,250.40",,,
8/5/18,TAVERN,Campdogzz,$10.00,$12.00,4,$40.00,$24.00,-$16.00,2,$24.00,$64.00,-$40.00,N/A,$38.40,6,$25.60,$265.33,,,
8/8/18,TAVERN,Mourn,$12.00,$14.00,5,$60.00,$900.00,$840.00,6,$84.00,$144.00,$756.00,N/A,$900.00,11,-$756.00,$0.00,,,
8/10/18,BALLROOM,Marcus Alan Ward,$10.00,$12.00,92,$920.00,$350.00,-$570.00,35,$420.00,"$1,340.00",-$990.00,$53.60,$940.00,127,$346.40,$0.00,,,
8/11/18,BALLROOM,Mimi Arden,$10.00,$12.00,78,$780.00,$350.00,-$430.00,64,$768.00,"$1,548.00","-$1,198.00",$61.92,"$1,040.00",142,$446.08,$0.00,,,
